,content,author,date,retweets,likes,url
0,"Give a FREE Breakfast for your delivery rider, on us! Just order a McDo Breakfast Meal today, from 6am to 10am, via… https://t.co/8ZPDK8kWh2",McDo_PH,2021-03-15 22:13:47,46,93,1371585445637844992
1,"This March 16, order a McDo meal from McDelivery, GrabFood, and foodpanda, and your rider gets a FREE breakfast fro… https://t.co/s7nMyMlxIH",McDo_PH,2021-03-15 11:00:00,69,166,1371415883508289537
2,tumatanggap ba grabfood gcash .... hhhgghh cashless girl living cash-using world,roundtobio,2021-03-21 07:39:18,0,0,1373539700477022209
3,"Tuloy tuloy ang saya this summer with GrabFood’s PISO DELIVERY WEEKENDS this month of March! 💚🎉

Just use your prom… https://t.co/2cfeyadtZE",moosecobubble,2021-03-21 07:33:29,1,1,1373538237050810377
4,"@lxxandrd grabfood 

OUR SHINING ACE HEESEUNG

#ENHYPEN_HEESEUNG #엔하이픈_희승 
@ENHYPEN @ENHYPEN_members",c_chantara,2021-03-21 07:30:34,1,0,1373537504301699075
5,grabfood off peak free delivery is a lifesaver,Cher_HongKai,2021-03-21 07:10:14,0,0,1373532386739167232
6,Nakaka tatlong rider na ako sa grabfood na nagtext ng same context 🥺 I hope grab is protecting these precious rider… https://t.co/s9ZlFLMdnC,gandamocamille,2021-03-21 07:06:52,2,8,1373531539590418432
7,"@lxxandrd grabfood

OUR SHINING ACE HEESEUNG

#ENHYPEN_HEESEUNG #엔하이픈_희승 
@ENHYPEN_members  @ENHYPEN",biscuitsnk,2021-03-21 06:59:54,1,0,1373529785138212866
8,"@lxxandrd grabfood

OUR SHINING ACE HEESEUNG

#ENHYPEN_HEESEUNG #엔하이픈_희승 
@ENHYPEN_members  @ENHYPEN",happyeverhypen,2021-03-21 06:51:13,1,0,1373527601474498560
9,"@lxxandrd Grabfood

OUR SHINING ACE HEESEUNG

#ENHYPEN_HEESEUNG #엔하이픈_희승 
@ENHYPEN @ENHYPEN_members",neomucoa,2021-03-21 06:48:49,1,0,1373526995812806658
10,📷 Best Sunday Roast you will have this year and its available every Sunday at Speedway on Mertanadi. Delivery to yo… https://t.co/keMBEgASml,speedwaybali,2021-03-21 06:48:09,0,0,1373526827600379909
11,"gofood or grabfood !?
##🦌 -!!",lxxandrd,2021-03-21 06:48:03,1,0,1373526803378171906
12,📷 Classic Cheesey pizza with Jalepeno. At Speedway you can have it your way. Take advantage now while discount 20%… https://t.co/pApVW33h8K,speedwaybali,2021-03-21 06:41:42,0,0,1373525204765409282
13,"Order via GRABFOOD or https://t.co/R15VTORIcE

You can also visit us at 2025 Lakandula St., Brgy San Jose Angeles C… https://t.co/3jmdFobqSU",GalenSizzling,2021-03-21 06:32:34,0,1,1373522905519157249
14,"Greenwich Creamy Bacon Carbonara Pan, perfect PAN-fam weekend merienda, regular size P465 lang! 😋👌🏻

Pwedeliver thr… https://t.co/wPsyPQN2HR",greenwichpizza,2021-03-21 06:01:41,1,1,1373515135608791044
